solution,mua,musp,n_int,f,phase,amplitude
319,0.46,3.0,1.4149999999999996,0.0,0.0,0.1952251777654
320,0.46,3.0,1.4149999999999996,0.02,-0.0059771828204905,0.19484887872076
321,0.46,3.0,1.4149999999999996,0.075,-0.022339062688624,0.19009005266242
322,0.46,3.0,1.4149999999999996,0.15,-0.044209128801757,0.17646167338871
323,0.46,3.0,1.4149999999999996,0.5,-0.13121116533405,0.096596958849812
324,0.46,3.0,1.4149999999999996,1.0,-0.20330249727108,0.047315407084012
325,0.46,3.0,1.4199999999999995,0.0,0.0,0.1952251777654
326,0.46,3.0,1.4199999999999995,0.02,-0.0059771828204905,0.19484887872076
327,0.46,3.0,1.4199999999999995,0.075,-0.022339062688624,0.19009005266242
328,0.46,3.0,1.4199999999999995,0.15,-0.044209128801757,0.17646167338871
329,0.46,3.0,1.4199999999999995,0.5,-0.13121116533405,0.096596958849812
330,0.46,3.0,1.4199999999999995,1.0,-0.20330249727108,0.047315407084012
331,0.46,3.0,1.4249999999999994,0.0,0.0,0.1952251777654
332,0.46,3.0,1.4249999999999994,0.02,-0.0059771828204905,0.19484887872076
333,0.46,3.0,1.4249999999999994,0.075,-0.022339062688624,0.19009005266242
334,0.46,3.0,1.4249999999999994,0.15,-0.044209128801757,0.17646167338871
335,0.46,3.0,1.4249999999999994,0.5,-0.13121116533405,0.096596958849812
336,0.46,3.0,1.4249999999999994,1.0,-0.20330249727108,0.047315407084012
337,0.46,3.0,1.4299999999999993,0.0,0.0,0.1952251777654
338,0.46,3.0,1.4299999999999993,0.02,-0.0059771828204905,0.19484887872076
339,0.46,3.0,1.4299999999999993,0.075,-0.022339062688624,0.19009005266242
340,0.46,3.0,1.4299999999999993,0.15,-0.044209128801757,0.17646167338871
341,0.46,3.0,1.4299999999999993,0.5,-0.13121116533405,0.096596958849812
342,0.46,3.0,1.4299999999999993,1.0,-0.20330249727108,0.047315407084012
343,0.46,3.0,1.4349999999999992,0.0,0.0,0.1952251777654
344,0.46,3.0,1.4349999999999992,0.02,-0.0059771828204905,0.19484887872076
345,0.46,3.0,1.4349999999999992,0.075,-0.022339062688624,0.19009005266242
346,0.46,3.0,1.4349999999999992,0.15,-0.044209128801757,0.17646167338871
347,0.46,3.0,1.4349999999999992,0.5,-0.13121116533405,0.096596958849812
348,0.46,3.0,1.4349999999999992,1.0,-0.20330249727108,0.047315407084012
349,0.46,3.0,1.439999999999999,0.0,0.0,0.1952251777654
350,0.46,3.0,1.439999999999999,0.02,-0.0059771828204905,0.19484887872076
351,0.46,3.0,1.439999999999999,0.075,-0.022339062688624,0.19009005266242
352,0.46,3.0,1.439999999999999,0.15,-0.044209128801757,0.17646167338871
353,0.46,3.0,1.439999999999999,0.5,-0.13121116533405,0.096596958849812
354,0.46,3.0,1.439999999999999,1.0,-0.20330249727108,0.047315407084012
355,0.46,3.0,1.444999999999999,0.0,0.0,0.1952251777654
356,0.46,3.0,1.444999999999999,0.02,-0.0059771828204905,0.19484887872076
357,0.46,3.0,1.444999999999999,0.075,-0.022339062688624,0.19009005266242
358,0.46,3.0,1.444999999999999,0.15,-0.044209128801757,0.17646167338871
359,0.46,3.0,1.444999999999999,0.5,-0.13121116533405,0.096596958849812
360,0.46,3.0,1.444999999999999,1.0,-0.20330249727108,0.047315407084012
361,0.46,3.5,1.4,0.0,0.0,0.21597678329907
